policy_id,section,policy_name,rule_id,rule_description,threshold_value,condition,approval_required,risk_level
1,المالي,سياسة شراء الأجهزة,1,"المشتريات حتى مبلغ 1500 دولار يتم اعتمادها تلقائيًا",1500,"amount <= 1500","لا يوجد",متوسط
1,المالي,سياسة شراء الأجهزة,2,"المشتريات من 1501 إلى 3000 دولار تتطلب موافقة المدير وتقديم عرضي سعر",3000,"1500 < amount <= 3000","المدير",متوسط
1,المالي,سياسة شراء الأجهزة,3,"المشتريات التي تتجاوز 3000 دولار تتطلب موافقة المدير والإدارة المالية والمدير التقني",3000,"amount > 3000","المدير + المالية + المدير التقني",متوسط
1,المالي,سياسة شراء الأجهزة,4,"الحد السنوي لميزانية الأجهزة لكل موظف هو 2500 دولار",2500,"annual_budget_limit","لا يوجد",متوسط
1,المالي,سياسة شراء الأجهزة,5,"يجب اختيار المورد من قائمة الموردين المعتمدين",NULL,"vendor_approved == true","لا يوجد",متوسط
2,المالي,سياسة مصاريف السفر,1,"يُشترط حجز الدرجة السياحية للرحلات التي تقل مدتها عن 6 ساعات",6,"flight_hours <= 6","لا يوجد",متوسط
2,المالي,سياسة مصاريف السفر,2,"تُسمح درجة رجال الأعمال للرحلات التي تزيد مدتها عن 6 ساعات للموظفين التنفيذيين فقط",6,"flight_hours > 6 AND role == executive","المدير",متوسط
2,المالي,سياسة مصاريف السفر,3,"يجب ألا تتجاوز تكلفة الفندق 250 دولارًا في الرحلات الإقليمية",250,"region == regional","لا يوجد",متوسط
2,المالي,سياسة مصاريف السفر,4,"يجب ألا تتجاوز تكلفة الفندق 400 دولار في المدن الدولية الكبرى",400,"region == international","لا يوجد",متوسط
2,المالي,سياسة مصاريف السفر,5,"يجب تقديم إيصالات رسمية لجميع طلبات التعويض",NULL,"receipt_provided == true","لا يوجد",متوسط
3,الأمن,سياسة تثبيت البرمجيات,1,"يُسمح فقط بالبرمجيات الموجودة في السجل المعتمد",NULL,"software_approved == true","تقنية المعلومات",مرتفع
3,الأمن,سياسة تثبيت البرمجيات,2,"أي خدمة SaaS تتعامل مع بيانات العملاء تتطلب مراجعة أمنية واتفاقية معالجة بيانات",NULL,"handles_customer_data == true","الأمن + الشؤون القانونية",مرتفع
3,الأمن,سياسة تثبيت البرمجيات,3,"يُمنع استخدام البرمجيات المقرصنة",NULL,"software_legitimate == true","تقنية المعلومات",مرتفع
4,الأمن,سياسة التعامل مع البيانات,1,"يجب تشفير البيانات المصنفة كمقيدة أثناء التخزين",NULL,"data_classification == restricted","الأمن",حرج
4,الأمن,سياسة التعامل مع البيانات,2,"يُمنع مشاركة البيانات المقيدة عبر البريد الإلكتروني",NULL,"data_shared_email == false","الأمن",حرج
4,الأمن,سياسة التعامل مع البيانات,3,"تتطلب مشاركة البيانات خارجيًا موافقة الشؤون القانونية",NULL,"external_sharing == true","الشؤون القانونية",حرج
5,القانوني,سياسة إنهاء العقود,1,"يجب أن تتضمن العقود إشعار إنهاء لا يقل عن 30 يومًا",30,"termination_notice_days >= 30","الشؤون القانونية",مرتفع
5,القانوني,سياسة إنهاء العقود,2,"يجب ألا يتجاوز حد المسؤولية 12 شهرًا من قيمة العقد",12,"liability_cap_months <= 12","الشؤون القانونية",مرتفع
5,القانوني,سياسة إنهاء العقود,3,"يجب مراجعة بنود التعويض من قبل الشؤون القانونية",NULL,"indemnification_clause == true","الشؤون القانونية",مرتفع
6,القانوني,سياسة اتفاقيات الموردين,1,"يجب أن يجتاز المورد فحص الامتثال",NULL,"vendor_screened == true","الامتثال",مرتفع
6,القانوني,سياسة اتفاقيات الموردين,2,"يجب على الموردين الذين يعالجون بيانات العملاء الالتزام باللائحة العامة لحماية البيانات (GDPR)",NULL,"processes_customer_data == true","الشؤون القانونية",مرتفع
6,القانوني,سياسة اتفاقيات الموردين,3,"يجب ألا تتجاوز شروط الدفع 60 يومًا إلا بموافقة المدير المالي",60,"payment_terms_days <= 60","المدير المالي عند التجاوز",مرتفع
7,الموارد البشرية,سياسة تعارض المصالح,1,"يجب على الموظفين الإفصاح عن أي مصلحة مالية مع الموردين",NULL,"conflict_disclosed == true","الموارد البشرية",مرتفع
7,الموارد البشرية,سياسة تعارض المصالح,2,"عدم الإفصاح عن تعارض المصالح يؤدي إلى إجراءات تأديبية",NULL,"conflict_disclosed == false","الموارد البشرية",مرتفع
8,الموارد البشرية,سياسة معدات العمل عن بُعد,1,"توفر الشركة جهاز لابتوب واحد وشاشة واحدة لكل موظف",NULL,"equipment_request_within_policy == true","لا يوجد",متوسط
8,الموارد البشرية,سياسة معدات العمل عن بُعد,2,"يُسمح باستبدال الأجهزة كل 3 سنوات",3,"years_since_last_replacement >= 3","المدير",متوسط